Country,Year,Activity_,RMovement
PAPUA NEW GUINEA,1952,spearfishing,1
SUDAN,1952,spearfishing,1
BELIZE,2006,spearfishing,1
AUSTRALIA,2004,spearfishing,1
SOUTH AFRICA,1963,spearfishing,1
PAPUA NEW GUINEA,1952,spearfishing,1
SOUTH AFRICA,2006,spearfishing,1
BAHAMAS,2015,spearfishing,1
GUAM,2010,spearfishing,1
SOUTH AFRICA,1987,spearfishing,1
NEW BRITAIN,1963,spearfishing,1
TONGA,1993,spearfishing,1
SRI LANKA,1960,spearfishing,1
BAHAMAS,2013,spearfishing,1
GRENADA,1960,spearfishing,1
FIJI,1963,spearfishing,1
BAHAMAS,2001,spearfishing,1
SOUTH AFRICA,2016,spearfishing,1
USA,1952,spearfishing,1
AUSTRALIA,2016,spearfishing,1
SOUTH AFRICA,1983,spearfishing,1
FRENCH POLYNESIA,1951,spearfishing,1
BRITISH WEST INDIES,1962,spearfishing,1
BAHAMAS,1982,spearfishing,1
ITALY,1962,spearfishing,1
REUNION,1992,spearfishing,1
FIJI,1964,spearfishing,1
VENEZUELA,2004,spearfishing,1
PAPUA NEW GUINEA,1960,spearfishing,1
BAHAMAS,2001,spearfishing,1
PAPUA NEW GUINEA,1965,spearing,1
FIJI,1963,spearing,1
BAHAMAS,1948,spearing,1
SOLOMON ISLANDS,1963,spearing,1
AUSTRALIA,1934,splashing,1
AUSTRALIA,1946,standing,1
SOUTH AFRICA,1977,standing,1
USA,1980,standing,1
JAMAICA,1922,standing,1
MOZAMBIQUE,1972,standing,1
SOUTH AFRICA,1961,standing,1
BAHAMAS,2002,standing,1
PANAMA,1964,standing,1
USA,1959,standing,1
USA,2014,standing,1
PAPUA NEW GUINEA,2000,standing,1
SOUTH AFRICA,2005,standing,1
USA,2018,standing,1
AUSTRALIA,1920,standing,1
ST. MAARTIN,2005,standing,1
SOUTH AFRICA,2006,surf-skiing,2
SOUTH AFRICA,2016,surf-skiing,2
AUSTRALIA,1991,surf-skiing,2
SOUTH AFRICA,2005,surf-skiing,2
AUSTRALIA,1997,surf-skiing,2
SOUTH AFRICA,2009,surfing,2
TRINIDAD & TOBAGO,1938,surfing,2
USA,1980,surfing,2
AUSTRALIA,2012,surfing,2
USA,1979,surfing,2
SOUTH AFRICA,2009,surfing,2
USA,1984,surfing,2
AUSTRALIA,2012,surfing,2
REUNION,2012,surfing,2
MEXICO,1980,surfing,2
SOUTH AFRICA,2013,surfing,2
AUSTRALIA,2013,surfing,2
NEW CALEDONIA,2009,surfing,2
USA,1983,surfing,2
USA,2014,surfing,2
SOUTH AFRICA,2015,surfing,2
JAPAN,2014,surfing,2
AUSTRALIA,2013,surfing,2
USA,2013,surfing,2
SOUTH AFRICA,2014,surfing,2
SOUTH AFRICA,1984,surfing,2
REUNION,2014,surfing,2
AUSTRALIA,2015,surfing,2
ECUADOR,2013,surfing,2
AUSTRALIA,2012,surfing,2
PAPUA NEW GUINEA,2011,surfing,2
SOUTH AFRICA,2011,surfing,2
MEXICO,1972,surfing,2
SOUTH AFRICA,2015,surfing,2
AUSTRALIA,2010,surfing,2
USA,2011,surfing,2
USA,1974,surfing,2
USA,2011,surfing,2
USA,2011,surfing,2
SOUTH AFRICA,2011,surfing,2
REUNION,2015,surfing,2
INDONESIA,2011,surfing,2
REUNION,2011,surfing,2
SOUTH AFRICA,1967,surfing,2
MEXICO,1971,surfing,2
BRAZIL,2015,surfing,2
REUNION,2011,surfing,2
USA,2010,surfing,2
USA,2010,surfing,2
AUSTRALIA,2015,surfing,2
BRAZIL,2011,surfing,2
COSTA RICA,2011,surfing,2
REUNION,2015,surfing,2
SOUTH AFRICA,2010,surfing,2
BAHAMAS,2010,surfing,2
AUSTRALIA,2010,surfing,2
