Country,Area,Location,Activity,Age,Fatal?,Species,Year
AUSTRALIA,Western Australia,Rottnest Island,"Fishing, hauling in a set line",,N,"Bronze whaler shark, 3 m [10'], 200-lb",1960
SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,,N,"Raggedtooth shark, 100-lb ",1960
BERMUDA,"33N, 68W",Royal Canadian Navy CS2F-1 aircraft ditched in the sea 180 nautical miles WNW of Bermuda at 01h30,Floating on a raft,"21, 34,24 & 35",U,Questionable incident,1960
AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,17,N,"White shark, 3.7 m [12'] ",1960
AUSTRALIA,Western Australia,Off Rottnest Island,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",,N,"Sandtiger shark, 2.1 m [7'] ",1960
AUSTRALIA,Victoria,"Canadian Bay near Mount Eliza, 30 miles from Melbourne",Spearfishing,,N,1.5 m [5'] shark,1960
AUSTRALIA,New South Wales,Off Broughton Island near Port Stephens,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into sharks mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",,N,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description",1960
AUSTRALIA,South Australia,Hog Bay,Shark fishing,,N,White shark,1960
SOUTH AFRICA,Western Cape Province,Saldanha Bay,Fishing,,N,White shark (tooth fragments recovered),1960
USA,Florida,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,42,N,"1.2 m [4'], possibly  larger shark",1960
AUSTRALIA,Tasmania,Ralph Bay,"Wading, fishing for flounder",30 & 32,N,Two 2.1 m [7'] sharks,1960
NEW ZEALAND,North Island,"Mangawhai, near Wellsford",Spearfishing,22,N,"Bronze whaler shark,4 m [13'] ",1960
USA,Hawaii,"Between Keawakapu & Makena, Maui",Spearfishing,36,U,"According to Benjamin, the injury was inflicted by a barracuda, not a shark",1960
PAPUA NEW GUINEA,Central Province,"Tupuselei Village, about 40 miles east of Port Moresby",Spearfishing,26,Y,"Tiger shark, 3.4 m [11'] captured",1960
AUSTRALIA,New South Wales,Near Bondi Beach,Shark fishing,,N,"Tiger shark, 14' ",1960
AUSTRALIA,New South Wales,Wattamolla National Park,Spearfishing,20,N,"Grey nurse shark, 2.9 m [9'6""] ",1960
AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",Free diving,13,Y,Bull shark,1960
AUSTRALIA,Western Australia,Geraldton,"Fishing, lifting shark out of craypot",,N,Wobbegong shark,1960
AUSTRALIA,Tasmania,Eaglehawk Neck,Setting crayfish pots,,N,4.9 m [16'] shark,1960
NICARAGUA ,Pacific coast,San Jan del Sur,Bathing,,N,3.7 m to 4.6 m [12' to 15'] shark,1960
GRENADA,St. Georges ,Black Point Bay,Spearfishing,9,N,,1960
SRI LANKA,Eastern  Province,Pigeon Island,Spearfishing,,N,Blacktail reef shark,1960
SRI LANKA,Eastern  Province,"Manayaweli Cove, Trincomalee",Collecting ornamental fish,,N,Blacktip reef shark,1960
PAPUA NEW GUINEA,West New Britain Province,"West Nakanai,  Talasea",Fishing,20,N,,1960
MOZAMBIQUE,Gaza,Xai Xai,Swimming,5,Y,,1960
SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Wading,,N,2.1 m [7'] shark,1960
AUSTRALIA,Queensland,Scotts Point Beach ,Paddling,,N,3.7 m [12'] tiger shark,1959
AUSTRALIA,New South Wales,"Leichardt, Sydney",Fishing,50 & 30,N,2.4 m  [8'] shark,1959
PAPUA NEW GUINEA,Rigo subdistrict,Kaparoka,Swimming underneath house on pilings,13,Y,,1959
AUSTRALIA,Queensland,"Off Wynnum in Moreton Bay, near Brisbane",Dived from dinghy to retrieve oar in heavy seas,29,Y,,1959
AUSTRALIA,Victoria,"Altona, Melbourne","Spearfishing, Smith  & Walker touched shark with tip of their guns",17 & 35,N,2.7 m [9']  shark,1959
NEW ZEALAND,North Island,Moko Hinau ,Fishing for snapper,,N,"Mako shark, 4.3 m [14']",1959
AUSTRALIA,Victoria,"Fairhaven Beach, Lorne",Body surfing,19,N,3.5 m [11.5'] shark,1959
AUSTRALIA,Queensland,"North Burleigh, near Brisbane",Standing in chest-deep water,17,N,"""a small shark""",1959
AUSTRALIA,Queensland,"Surfer's Paradise, Northcliffe",Trailing the field in a surf race,19,N,3 m to 4.3 m [10' to 14'] shark,1959
SOUTH AFRICA,Western Cape Province,"Swartklip, False Bay",Fishing for tunny,,N,"Thresher shark, 3.7 m [12'] ",1959
AUSTRALIA,South Australia,Near Port Vincent,Shark fishing,,N,6 m [20'] shark,1959
USA,California,"Near Paradise Cove, Malibu, Los Angeles County",Swimming at surface through school of feeding 2.5' to 5 sharks,21,N,"Blue shark, 1.5 m [5'] ",1959
AUSTRALIA,Western Australia, Perth,"Spearfishing, shot shark, hauled it onto boat",,N,"Carpet shark, 1.5 m [5']",1959
MOZAMBIQUE,Maputo Province,"Xefina Island, Bay of Maputo",Swimming,X,Y,,1959
USA,California,"Bodega Rock, Sonoma County",Diving for abalone,30,N,"White shark, 5 m [16.5'], identified by Dr. W. I. Follett on tooth marks",1959
FIJI,Lomaiviti Province,"Levuka, Ovalau Island",Dived overboard to retrieve dinghy,,Y,4.3 m [14'] shark,1959
FIJI,Kadavu,Great Astrolabe Reef,Spearfishing,36,N,"Tiger shark, 1.8 m [6']",1959
PHILIPPINES,Leyte Island,Luang Dulag,Swimming ,28,N,,1959
USA,Florida,"Off Port Everglades, Broward County","Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",30,N,"A hammerhead shark, then 8 to 10 other sharks were said to be  involved",1959
USA,South Carolina,"Albergotti Creek, near Air Station boat docks, Beaufort",Gigging for flounder,,U,"Said to involve white shark, but species identify questionable",1959
USA,California,"Between False Klamath & mouth of Klamath River, Del Norte County",Pulling hooked salmon to boat,,N,"White shark, 3.5 m [11.5'], identified by W. I.  Follett on tooth fragments",1959
PHILIPPINES,North Palawan,Cabuli Island,The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,10,U,Shark involvement prior to death was not confirmed,1959
USA,Florida,"Panama City, Bay County",Diving,21,U,Invalid,1959
USA,Florida,"Panama City, Bay County",Spearfishing on Scuba,26,Y,3.7 m [12'] shark,1959
USA,South Carolina,Charleston,Fishing,,N,5.5' shark,1959
USA,California,"LaJolla, San Diego County","Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",32,N,"Hammerhead shark, 9' ",1959
CROATIA,Istria,Pula,Fishing,,N,20 kg shark,1959
JAPAN,Wakayama Prefecture,"Isonoura Beach, Wakayama City ",Swimming,13 or 18,Y,"Blue shark, 3 m [10']",1959
USA,Georgia,"Savannah Beach, Savannah, Chatham County",Standing,15,N,,1959
ITALY,Tuscany,"Cala del Corvo, Isola del Giglio",Scuba diving,34 & 19,U,Shark involvement prior to death was not confirmed,1959
USA,California,"In kelp beds off La Jolla, San Diego County",Pulling anchor,,N,"White shark, 3 m to 5 m [10' to 15'] ",1959
USA,California,"Alligator Head, La Jolla, San Diego County",Spearfishing (but on surface),25,N,"Hammerhead shark, 1.8 m [6'] S. zygena identified by C. Limbaugh on description",1959
JAPAN,Okayama Prefecture,Ushimado,,22,Y,Blue shark?,1959
USA,California,"Mission Beach, San Diego County",,21,N,"Hammerhead shark, 2.4 m [8'] ",1959
USA,California,"Off La Jolla Cove, San Diego County",Fishing,,N,"Hammerhead shark, 3 m [10'] ",1959
USA,California,"Venice Beach, Los Angeles County",Dragging stranded shark ashore,,N,"Blue shark, 1.8 m [6'] ",1959
CARIBBEAN SEA,PANAMA,"Off Cristobal, 200 miles northeast of the entrance to the Panama Canal",Columbian petrol barge Rio Atrato burned and sank,27,Y,,1959
USA,Florida,"Delray Beach, Palm Beach County",Free diving,13,N,"Nurse shark, 60 cm [24""], identified by Dr. L.P. L. Schultz on photograph",1959
USA,California,"La Jolla, San Diego County",Free diving for abalone,33,Y,"Reported to involve a White shark, 6 m to 7m [20' to 23'] ",1959
SOUTH AFRICA,Eastern Cape Province,"Bird Island, Algoa Bay",Spearfishing,23,N,"White shark, 2.7 m [9'], 280-lb ",1959
USA,Florida,"Indian Rocks Beach, Clearwater, Pinellas County",,37,N,1.2 m [4'] shark,1959
USA,California,"Baker Beach, San Francisco County",Treading water,18,Y,"White shark, 3 m [10']; identifed by Dr. W.I. Follett on tooth marks",1959
USA,Florida,"Panama City, Bay County",Spearfishing,19,N,"Tiger shark, 3.7 m [12']",1959
AUSTRALIA,New South Wales,Maroubra Bay,Spearfishing,22,U,Questionable incident,1959
AUSTRALIA,Torres Strait,"Coconut Island , 100 miles east of Thursday Island",Diving for pearl shell,43,N,"Tiger shark, 1.8 m [6'] ",1959
USA,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County",Swimming,13,N,,1959
PHILIPPINES,Mindanao,"Mouth of Langoyan River, Davao City",Lifeboat capsized,20,Y,,1959
USA,Florida,Miami,"On boat, preparing to dive",,N,Tiger shark 4.3 m [14'] ,1959
AUSTRALIA,Victoria,Port Phillip Bay,Fishing for snapper,,N,"Mako shark, 2.4 m [8'], <300-lb, identified by Dr. L.P. L. Schultz on photograph",1959
PAPUA NEW GUINEA, Kikori River mouth,"Ururumba, mouth of Kikori River 7.45S, 144.40E",Fishing,,N,3.7 m [12'] shark,1959
SOLOMON ISLANDS,Guadalcanal Province,"Trenchs Beach, Guadalcanal Island",Bathing with sister,15,Y,,1959
SOUTH AFRICA,KwaZulu-Natal,Port Shepstone,Treading water,14,N,1.8 to 2.1 m [6' to 7'] shark,1959
AUSTRALIA,Western Australia,South Perth,Working prawn net,20,N,"Grey nurse shark, 1.8 m [6']",1959
ECUADOR,Galapagos Islands,Crewing on  the tuna clipper Mary Barbara,Washed overboard into school of fish,57,N,Bitten by several 1.8 m [6'] sharks,1959
AUSTRALIA,Tasmania,"Whale Bay, King Island, Bass Strait",Swimming with motor tube,16,N,,1959
AUSTRALIA,Tasmania,Safety Cove,In deep water about 100 yards from his ship,22,Y,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,1959
AUSTRALIA,Queensland,Alexandra Headland near Mooloolaba,"Surfing, but treading water",17,N,1.8 m [6'] shark,1959
SOUTH AFRICA,Western Cape Province,Melkbaai,Swimming,18,N,"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness",1959
NEW GUINEA,Milne Bay Province,"Uga, Banaira, Milne Bay",Dragging banana seeds through the shallows,,N,1.4 m [4.5'] shark,1959
MOZAMBIQUE,Maputo Province,Off Inhaca Island,Swimming ashore from fishing boat swamped and sunk by a squall,33 & 26,Y,,1959
AUSTRALIA,Tasmania,Badger Head,Spearfishing / free diving,,N,1.5 m [5'] shark,1959
SOUTH KOREA,South Chungcheong Province,"36º17'N,  126º31'E",Swimming,,Y,White shark?,1959
SOUTH AFRICA,Western Cape Province,"Melkbaai, False Bay",Swimming,14,Y,,1958
USA,Hawaii,"Near Twin Islands off Lanikai, O'ahu (east coast)",Surfing on air mattress,15,Y,"Tiger shark, 4.6 m to 7.6 m [15' to 25'] ",1958
AMERICAN SAMOA,Tutuila Island,Van Camp wharf,Cleaning hull of ship ,22,Y,Tiger shark,1958
AUSTRALIA,Queensland,Surfer's Paradise,Swimming,21,Y,12' shark,1958
USA,California,"Pacific Beach, San Diego County",Fishing,,N,White shark,1958
USA,California,"Coronado Strand, San Diego County",Swimming near jetty,15,N,,1958
PAPUA NEW GUINEA,West New Britain Province,"East Nakanai, Talasea",Collecting shells,26,N,,1958
BAHAMAS,Cat Cay,off yacht Serenade,Fishing,42,N,200-lb shark,1958
USA,New York,Staten Island,Spearfishing,20,N,,1958
MEXICO,Baja California,Ensenada,Boat stopped to repair electric pump,,N,"Hammerhead shark, 5.2 m [17'] ",1958
CROATIA,Primorje-Gorski Kotar County,Mo?eni?ka Draga,Swimming,,N,3 m shark,1958
USA,Florida,"9 miles north of Turtle Beach, Siesta Key, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",12,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",1958
USA,Florida,"Longboat Key, Sarasota, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",8,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",1958
KENYA,Coast Province,Port Kilindeni / Mombasa Harbor,Swimming,21,Y,,1958
PACIFIC OCEAN,Between Hawaii & Wake Island,600 miles northwest of Honolulu,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,,Y,Sharks averaged 1.8 m [6'] in length,1958
PACIFIC OCEAN,Between Hawaii & Wake Island,600 miles northwest of Honolulu,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,31,N,Sharks averaged 1.8 m [6'] in length,1958
USA,Florida,"Siesta Key, Sarasota County",Free diving,20,N,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark",1958
PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai",Swimming,38,Y,,1958
BAHAMAS,Abaco Islands,North of Walkers Cay,"Spearfishing, had fish on his spear",36,N,"Tiger shark, <2 m TL",1958
USA,Florida,"Sanibel Island, Lee County",Wading,59,N,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions",1958
USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Walking,17,N,Tiger shark?,1958
USA,Florida,Key Biscayne,"Swimming, towing the shark",,N,"Nurse shark, 1.1 m [3.5'] ",1958
USA,Florida,1 mile off Miami Beach,Free diving,29,N,"Nurse shark, 1.5 m [5'] ",1958
TAIWAN,Taipei Hsien,Off Cape of Pi-tou,Diving,29,N,"Mako shark, 100-kg [221-lb] ",1958
SOUTH AFRICA,KwaZulu-Natal,Uvongo,Paddling in knee-deep water,28,Y,3 m [10'] shark,1958
SOUTH AFRICA,KwaZulu-Natal,Port Edward,Swimming with goggles,29,Y,3 m [10'] shark,1958
USA,US Virgin Islands,Water Island,Spearfishing on Scuba,18,N,"Nurse shark, 1.5 m [5'] ",1958
AUSTRALIA,New South Wales,5 miles south of Sussex Inlet at mouth of Berara Lake,Spearfishing / swimming on surface,17,N,,1958
AUSTRALIA,New South Wales,Brunswick Heads,Body surfing,14,N,6' shark,1958
SOUTH AFRICA,KwaZulu-Natal,Scotburgh,Swimming,,Y,White shark,1958
TONGA,Vava'u,Hunga Island,Spearfishing,,N,<1 m shark,1958
PAPUA NEW GUINEA,West New Britain Province,"Kombe, Talasea",Spearfishing,,Y,Several sharks involved,1958
SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing (trolling),,N,White shark,1958
SOUTH AFRICA,KwaZulu-Natal,Margate,Standing,14,N,1.8 m [6'] shark,1957
SOUTH AFRICA,KwaZulu-Natal,"Splash Rock, Port Edward",Skindiving,20,N,,1957
SOUTH AFRICA,KwaZulu-Natal,Margate,Floating,23,Y,>3 m [10'] shark,1957
SOUTH AFRICA,KwaZulu-Natal,Uvongo,Standing,15,Y,,1957
SOUTH AFRICA,KwaZulu-Natal,Karridene,Body surfing,16,N,,1957
USA,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",Attempting to net shark in shark channel,,N,"2.7 m [9'] bull shark, identified by Capt. W. Gray",1957
USA,California,"La Jolla, San Diego County",Spearfishing on Scuba,,N,"Said to involve a 1 m  white shark, but thought  that it was more likely a blue shark",1957
USA,North Carolina,"Salter Path, Atlantic Beach, Carteret County",Swimming,57,Y,White shark,1957
AUSTRALIA,Torres Strait,Near Thursday Island,Diving for trochus,36,N,9' shark,1957
AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",Competing in spearfishing championship & towing dead fish,28,N,4.6 m [15'] shark,1957
USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",Swimming,25,Y,White shark,1957
AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Surfing,15,N,Wobbegong shark?,1957
USA,Florida,"Ormond Beach, Volusia County",Standing,17,N,4 m [13'] shark,1957
AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",Swimming between  anchored  pearling luggers,22,N,Shark seen feeding on turtle scraps thrown overboard prior to incident.,1957
PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,Diving from canoe,17,N,,1957
SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,Diving from canoe,15,N,,1957
USA,Florida,"South Beach, Fort Pierce, St Lucie County",Floating,,N,1.2 m  [4'] shark,1957
USA,Florida,Florida Keys,Skindiving for specimens,,N,Said to involve a large mako shark,1957
SOUTH AFRICA,KwaZulu-Natal,Umgeni River Mouth,Wading,12,Y,,1957
USA,Florida,"Fort Pierce, St. Lucie County",Bathing,,N,1.5 m [5'] shark,1957
CUBA,Havana Province,Cojimar,Fishing,,N,3.7 m [12'] shark ,1957
CUBA,Havana Province,Havana,Fishing for sharks,18,Y,,1957
USA,Florida,"Miami, Miami-Dade County",Helmet diving in Miami Seaquarium,,N,Bull shark,1957
FIJI,Kadavu,Great Astrolabe Reef,Fishing,30,N,,1957
PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),Spearfishing,19,Y,2.4 m [8'] tiger shark caught 40 hours later with shorts of the boy in its gut,1956
PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,Spearfishing,16,Y,,1956
NEW ZEALAND,North Island,North Auckland,Fishing,70,N,"Mako shark, 125-lb ",1956
SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Free diving for sinkers,29,N,"White shark, according to witnesses",1956
PAPUA NEW GUINEA,Central Province,Kapakapa ,"Spearfishing, holding 5' speared fish",,N,3.7 m [12'] shark,1956
SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gorée,"Skindiving, fish at belt",19,N,Lemon shark,1956
USA,Florida,"Daytona Beach, Volusia County",Surf fishing,27,N,a sand shark,1956
ITALY,Tyrrenian Sea,1.5 miles south of  San Felice Circeo ,Scuba diving,,N,"White shark, 13'10"", 1320-lb female ",1956
PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",Fishing ,34,Y,4.3 m [14'] shark,1956
USA,Puerto Rico,North coast,Skin diving,13,Y,,1956
AUSTRALIA,Queensland,Near Southport,Diving,,N,"Wobbegong shark, 4' ",1956
USA,California,"Pismo Beach, San Luis Obispo County",Swimming near pier,10,N,"White shark, 2.7 m [9'] ",1956
SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti",Free diving for crayfish,23,N,,1956
MALTA,Congreve Channel,between Filfla Island and Wied iz-Zurrieq,Fishing,,N,Porbeagle or white shark,1956
PAPUA NEW GUINEA,Central Province,"Fisherman's Island, near Port Moresby",Fishing,,N,2.3 m [7'] shark,1956
USA,Puerto Rico,Aquadilla,Floating in inner tube,13,Y,,1956
USA,California,"Van Ness Municipal Pier, San Francisco",Fishing,38,N,8-lb shark,1956
MALTA,St. Thomas Bay,Marsascala,Swimming,40,Y,White shark,1956
USA,Florida,"Miami Beach, Miami-Dade County",Wading,38,N,,1956
USA,South Carolina,"Isle of Palms, Charleston County",Swimming,7,N,,1956
AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",,N,2.3 m [7'] shark,1956
PORTUGAL,Madeira,Off Funchal,Longling fishing,23,Y,,1956
SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,,N,White shark,1956
ITALY,Ligurian Sea,"Genova, S. Nazaro, Punta Vagno",Boating,,U,Said to involve a 7 m [23'] white shark,1956
AUSTRALIA,New South Wales,"Cronulla, near Sydney",Bathing,13,N,,1956
AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay","Swimming, attacked at  surf carnival",26,Y,3.7 m [12'] shark & may have been another shark nearby,1956
AUSTRALIA,Western Australia,Fremantle,Attempting to set underwater endurance record,21,N,,1956
AUSTRALIA,Queensland,Pioneer River near Mackay,Diving into water,15,Y,1.8 m [6'] shark,1956
AUSTRALIA,Victoria,Cowes,Swimming,8,N,,1956
AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,18,N,,1956
AUSTRALIA,New South Wales,North Bondi,Surf skiing,25,N,5' to 6' shark,1956
GREECE,Corfu Island,Kérkira,Swimming off yacht,15,Y,White shark,1956
USA,Virginia,"Virginia Beach, Princess Anne County",Removing shark from net ,,N,40-lb sand shark,1956
USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,14,U,,1956
PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",Swimming,8,N,Wobbegong shark,1955
AUSTRALIA,Queensland,"Tully, North Queensland",Spearfishing & lassoed shark,28,N,6' shark,1955
NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",,Y,Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,1955
NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",,N,"Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,",1955
USA,California,"Venice Beach, Los Angeles County",Swimming near breakwater,16,N,,1955
USA,California,"Zuma Beach, Santa Monica, Los Angeles County",Surfing,25,N,5' thresher or blue shark. The shark  was killed following the incident,1955
CROATIA, Primorje-Gorski Kotar County,Opatija,Swimming,32,Y,White shark,1955
AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,Swimming,28,Y,Blue shark,1955
USA,South Carolina,Windy Hill Beach,Fishing,,N,"""a small shark""",1955
AUSTRALIA,South Australia,Port Augusta,Fishing,,N,Tooth fragments recovered from hull,1955
JAPAN,Okayama Prefecture,Usimado-no-Seto,,22,Y,Blue shark,1955
USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Wading,13,N,0.7 m [2.5'] sand shark,1955
MONTENEGRO,Adriatic Sea,Budva,Swimming,,Y,"White shark, 6.5 m ",1955
YEMEN,Aden,Telegraph Bay,Swimming,,Y,2.4 m [8']  shark,1955
USA,California,"Malibu, Los Angeles County",Spearfishing,28,N,2 m [6.75'] shark,1955
PAPUA NEW GUINEA,Central Province,"Hadrians (Haidana?) Island, near Port Moresby",Spearfishing or fishing,,N,6' shark,1955
AUSTRALIA,New South Wales,Wamberal,Body surfing,22,Y,,1955
PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago","Kabiman, West coast",Swimming with speared fish,,N,"""small brown-colored shark""",1955
AUSTRALIA,Western Australia,Woodmans Point,"Competing in U/W endurance record, standing beside drum in 10' of water",25,N,,1955
USA,California,"Trinidad Bay, Humboldt County",Scuba diving,,N,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)",1955
USA,California,"Pacific Grove, Monterey County",Spearfishing,19,N,"White shark, 5 m to 6 m [16.5' to 20] ",1955
AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",Swimming,25,Y,3.6 m  white shark  (or bronze whaler),1955
INDIA,Tamil Nadu,"Vanagiri, Madras (Chennai), Bay of Bengal",Fishing,25,N,,1955
AUSTRALIA,New South Wales,Coffs Harbor,Rowing toward snapper grounds,,N,4 m [13'] shark x 6,1955
AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",Hunting lobsters in 2.4 m of water,13,Y,"Bronze whaler shark,3.7 m [12'] ",1955
CUBA,Havana Province,Cojimar,Fishing,,N,"""a little shark""",1955
COLUMBIA,Isles del Rosario,Southwest of Cartegena,Spearfishing,12,N,1.5 m [5'] shark,1955
AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Dived overboard & was swimming near stern of trawler,27,Y,,1954
AUSTRALIA,Victoria,Point Lonsdale,Swimming,23,Y,,1954
SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Swimming,16,N,,1954
USA,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,,N,"Blacktip reef shark, 1.5 m [5'] ",1954
UNITED KINGDOM,Isle of Man,Off Fleetwood,Fishing  (trawling),62,N,20' shark,1954
CROATIA,Zadar County,"Lika-Senj, Pag Island",Boating,,U,"White shark, 5.5 m [18']",1954
USA,California,"La Jolla, San Diego County",Swimming,35,N,1.5 m [5'] shark,1954
AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait","Spearfishing, hunting crayfish",35,Y,9' shark,1954
ITALY,Liguaria,Finale Ligure,Spearfishing,27,N,,1954
CUBA,Guantanamo Province,Boqueron,Spearfishing,,N,"Nurse shark, 58"", 34-lb ",1954
CUBA,Guantanamo Province,Boqueron,Spearfishing,,N,"Nurse shark, 58"", 34-lb ",1954
BERMUDA,South shore ,Elbow Beach,Swimming,22,N,"2.4 m [8'] shark, possibly a dusky shark",1954
USA,California,"Santa Monica, Los Angeles County",Grabbed shark & threw it on deck,35,N,,1954
AUSTRALIA,Queensland,Fitzroy Island,Pearl diving from lugger Whyalla,30,N,2.4 m [8']  shark,1954
AUSTRALIA,New South Wales,"The Entrance, near Gosford",Swimming,23,Y,,1954
AUSTRALIA,Torres Strait,Naghir Island,Spearfishing,30,N,,1954
ARGENTINA,Buenos Aires Province,"Miramar Beach, 46 km south of Mar de Plata, Buenos Aires ",Floating,18,N,White shark tooth fragment recovered from ankle & identified by Dr. W. I. Follett,1954
PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",Crouching in the water,26,N,14' shark,1954
USA,Hawaii,Moloka'i,Fishing,,N,a small shark',1954
PAPUA NEW GUINEA,West New Britain Province,"Volupai, Talasea",Swimming,12,N,,1954
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,,N,Said to involve a >4 m [13'] shark,1953
SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,Swimming,23,N,,1953
AUSTRALIA,Queensland,Palm Beach,Swimming or wading out  to warn bathers that a shark had been seen,16,N,,1953
AUSTRALIA,New South Wales,Maroubra Beach,Surf skiing,,N,3.7 [12'] shark,1953
USA,New York,Rockaway Beach,Surf fishing,15,N,80-lb sand shark,1953
USA,Hawaii,"Waiau, Pearl Harbor, O'ahu",Crabbing,,N,"Hammerhead shark, 1.5 m [5'] ",1953
MEXICO,Guerrero,Acapulco,Free diving,19,U,Invalid,1953
MEXICO,Colima,Manzanillo,Wading,18,Y,,1953
USA,Hawaii,"Maile Beach, O'ahu",Spearfishing,15,Y,3 m [10'] shark seen in vicinity,1953
USA,Florida,"Juno Beach, Palm Beach County",Standing,26,N,,1953
CANADA,Nova Scotia,"Fourchu, Cape Breton Island",Fishing for lobsters,,N,"White shark, 3.7 m [12'], 500 to 500-kg [1,200 lb], identified by W. C. Shroeder based on tooth fragment ebedded in gunwale",1953
PANAMA,Gulf of Panama,60 miles offshore ,Retrieving bait box that had fallen overboard,19,N,,1953
USA,Texas,South Padre Island,Swimming,19,N,,1953
IRAN,Karun River,"near Ahvaz, 275 km from the sea",Swimming in midriver near sewage outlet & 400 m from a slaughterhouse,,N,"1.5 m [5'] shark, probable bull shark",1953
AUSTRALIA,New South Wales,"Long Reef, Collaroy",Spearfishing,23,N,,1953
AUSTRALIA,South Australia,"Schnapper Rock, Kirton Point",Spearfishing,,N,8' shark,1953
PAPUA NEW GUINEA,Milne Bay Province,"Off Rossel Island, Louisiade Archipelago",Went over side of boat at trochus ground,,Y,Tiger shark,1953
AUSTRALIA,New South Wales,Cave at Shell Harbour,Spearfishing,25,N,Wobbegong shark,1953
