Country,Area,Location,Activity,Age,Fatal?,Species,Year
MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,,Y,Zambesi shark?,2008
EGYPT,Red Sea,Elphinstone Reef,Scuba diving,,N,Oceanic whitetip shark,2008
AUSTRALIA,South Australia,North Haven,Fishing,,N,Bronze whaler shark,2008
PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,39,Y,,2008
AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,34,N,"Grey nurse shark, 3m",2008
AUSTRALIA,Northern Territory,Darwin,Fishing,50,N," reef shark, 1.8m",2008
AUSTRALIA,New South Wales,Lake Macquarie,Surfing,15,N,,2008
USA,Florida,"Santa Rosa Beach, Walton County",Fishing,11,N,,2008
CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,43,N,5 m white shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,44,N,,2008
USA,Florida,Bethune Beach,Surfing,40,N,+3' shark,2008
AUSTRALIA,Northern Territory,Near Croker Island,Swimming,43,N,Bronze whaler shark,2008
USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,32,N,2' to 3' juvenile shark,2008
USA,Hawaii,"Ka'a'awa, Oahu",Surfing,40,N,Tiger shark,2008
USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,,N,"White shark, 14' to 16' ",2008
AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,51,N,3 m shark,2008
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,43,N,,2008
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,15,N,,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,52,N,4' shark,2008
AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,29,N,,2008
USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,27,U,Shark involvement not confirmed,2008
ENGLAND,North Devon, Lundy Island,Fishing,52,N,Blue shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,19,N,,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,26,N,6' shark,2008
USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",20,N,,2008
USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,20,U,Shark involvement not confirmed,2008
USA,Florida,"Sanibel Island, Lee County",Swimming,47,N,,2008
USA,US Virgin Islands,Buck Island,Treading water,38,N,8' bull shark or Caribbean reef shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Wading,13,N,,2008
USA,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,,N,"Tiger shark, 12'",2008
AUSTRALIA,Victoria,Levys Beach,Surfing,31,N,8' white shark or 7-gill shark,2008
PANAMA,San Carlos,Playa Teta,Swimming or surfing,,N,3'  shark,2008
MEXICO,Cabo San Lucas,,Swimming,33,N,2'  shark,2008
USA,Hawaii,"Honokowai, Maui",Swimming,,N,2' to 3' reef shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,17,N,,2008
USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,44,N,,2008
USA,North Carolina,"Surf City, Topsail Island, Pender County",Wading,9,N,3' shark,2008
USA,North Carolina,"Topsail Island, Pender County",Wading,8,N,3' to 4' shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,15,N,,2008
USA,Florida,"New Smyrna Beach, Volusia County",Wading,16,N,4' shark,2008
USA,North Carolina,"Carolina Beach, New Hanover County",Body surfing,52,U,Shark involvement not confirmed,2008
USA,South Carolina,"Isle of Palms, Charleston County",Surfing,24,N,,2008
USA,North Carolina,"Emerald Isle, Carteret County",Swimming,14,N,,2008
UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,16,N,"Starry smoothhound shark, 1m",2008
USA,Hawaii,"Kamilo Point, Hawai'i",Wading,53,U,Shark involvement prior to death not confirmed,2008
BAHAMAS,Abaco Islands,,Spearfishing,42,N,"Bull shark, 6' to 7'",2008
SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing ,46,N,"White shark, 2m",2008
SOUTH AFRICA,Western Cape Province,Struis Bay,Spearfishing (free diving),,N,"White shark, 4.5m",2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,29,N,,2008
USA,South Carolina,"Isle of Palms, Charleston County",Swimming,37,N,4.5 to 5' shark,2008
USA,California,"West Cove, Catalina Island",Kayaking,40,N,"White shark, 15'",2008
USA,Florida,"Fernandina Beach, Nassau County",Wading,35,N,,2008
BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,14,N,,2008
USA,Florida,"Cocoa Beach, Brevard  County",Body surfing,40,N,,2008
SCOTLAND,Easter Ross,Balintore Bay,Fishing,,N,Basking shark,2008
USA,South Carolina,Cherry Grove,Body surfing,15,N,5' shark,2008
BRAZIL,Pernambuco,"Piedade, Recife",Swimming,14,N,Bull shark,2008
USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,9,N,,2008
BAHAMAS,Grand Bahama Island,Off West End,Sea Disaster,,N,Tiger sharks in area,2008
MEXICO,Guerro,Playa Linda,Surfing,49,N,3 m shark,2008
MEXICO,Guerro,Pantla Beach,Surfing,21,Y,2 m shark,2008
FIJI,Yasawa Islands,Turtle Island,Night diving,28,Y,,2008
AUSTRALIA,Western Australia,Albany,Swimming,37,N,"White shark, 4m",2008
NEW CALEDONIA,North Province,Hienghène,Fishing,40,N,2 small bull sharks,2008
USA,Florida,"New Smyrna Beach, Volusia County",Wading,6,N,,2008
MEXICO,Guerro,Troncones Beach,Surfing,24,Y,Tiger shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,18,N,4' shark,2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,24,N,,2008
NEW CALEDONIA,North Province,Poindimié,Swimming,32,N,"Bull shark, 1.8m",2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,21,N,,2008
USA,California,"Solana Beach, San Diego County",Swimming,66,Y,"White shark, 12' to 15'",2008
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,14,N,,2008
MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,32,U,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",2008
AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,19,U,Shark involvement not confirmed; thought to be a barracuda bite,2008
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,30,N,1.5' to 2' shark,2008
USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,15,N,6' shark,2008
AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,16,Y,Bull shark,2008
USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,18,N,,2008
SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,39,N,,2008
USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,52,N,4' to 5' shark,2008
USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,,N,a small shark,2008
USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,13,N,2.5' shark,2008
USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,14,N,,2008
USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,8,N,Shark involvement not confirmed,2008
USA,California," Huntington Beach, Orange County",Surfing,27,N,White shark,2008
BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,49,Y,"A bull shark, according to some of the divers on the boat",2008
FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,26,N,,2008
USA,Florida,"Ponce Inlet, Volusia County",Surfing,25,N,,2008
AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,14,N,1 m shark,2008
USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,,N,3' shark,2008
SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,42,N,"Blacktip shark, 2m",2008
AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,20,N,"Mako shark, 90kg",2008
NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,,N,"Bronze whaler shark, 4m",2008
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,20,N,a small shark,2008
