Country,Fatal,Year
AUSTRALIA,N,2012
USA,N,2012
USA,N,2012
USA,N,2012
AUSTRALIA,N,2012
REUNION,N,2012
USA,N,2012
USA,N,2012
AUSTRALIA,N,2012
SOUTH AFRICA,N,2012
AUSTRALIA,N,2012
USA,N,2012
AUSTRALIA,N,2012
TAIWAN,N,2012
AUSTRALIA,N,2012
SOUTH AFRICA,Y,2012
USA,N,2012
AUSTRALIA,N,2012
AUSTRALIA,N,2012
ECUADOR,N,2011
USA,N,2011
USA,N,2011
SOUTH AFRICA,N,2011
AUSTRALIA,N,2011
AUSTRALIA,N,2011
AUSTRALIA,N,2011
INDONESIA,N,2011
AUSTRALIA,N,2011
USA,N,2011
BRAZIL,N,2011
REUNION,N,2011
USA,N,2011
SCOTLAND,N,2011
SOUTH AFRICA,N,2011
AUSTRALIA,Y,2011
USA,N,2011
AUSTRALIA,N,2011
USA,N,2011
USA,N,2011
AUSTRALIA,Y,2011
REUNION,N,2011
USA,U,2011
SOUTH AFRICA,N,2011
USA,N,2011
USA,N,2011
REUNION,Y,2011
USA,N,2011
USA,N,2011
PAPUA NEW GUINEA,N,2011
AUSTRALIA,Y,2011
USA,N,2011
USA,N,2011
AUSTRALIA,U,2011
USA,N,2011
USA,N,2011
SOUTH AFRICA,Y,2011
USA,N,2011
FRENCH POLYNESIA,N,2011
USA,N,2011
USA,N,2011
USA,N,2011
BRAZIL,U,2011
SOUTH AFRICA,N,2011
USA,N,2011
BAHAMAS,N,2011
USA,N,2011
USA,N,2011
REUNION,N,2011
COLUMBIA,N,2011
BRAZIL,N,2011
SOUTH AFRICA,N,2011
USA,N,2011
USA,N,2011
USA,N,2011
COSTA RICA,Y,2011
REUNION,Y,2011
UNITED KINGDOM,N,2011
USA,N,2011
COLUMBIA,N,2011
USA,N,2011
USA,N,2011
USA,N,2011
SOUTH AFRICA,N,2011
USA,N,2011
USA,N,2011
SOUTH AFRICA,Y,2011
USA,N,2011
NEW CALEDONIA,Y,2011
USA,N,2011
USA,N,2011
SOUTH AFRICA,N,2011
USA,N,2011
AUSTRALIA,N,2011
USA,N,2011
NEW ZEALAND,N,2011
INDONESIA,N,2011
FIJI,N,2011
USA,N,2011
MEXICO,N,2011
AUSTRALIA,N,2011
AUSTRALIA,N,2011
