Fatal,Year,ActivityType
N,2018,deportes acuáticos
N,2018,deportes acuáticos
N,2005,deportes acuáticos
N,2018,deportes acuáticos
N,2018,deportes acuáticos
Y,2004,deportes acuáticos
N,2004,deportes acuáticos
N,2018,deportes acuáticos
N,2006,deportes acuáticos
N,2004,deportes acuáticos
N,2004,deportes acuáticos
N,2005,deportes acuáticos
N,2018,deportes acuáticos
N,2005,deportes acuáticos
N,2004,deportes acuáticos
N,2005,deportes acuáticos
N,2002,deportes acuáticos
N,2017,deportes acuáticos
N,2017,deportes acuáticos
N,2002,deportes acuáticos
N,2006,deportes acuáticos
N,2001,deportes acuáticos
N,2001,deportes acuáticos
N,2002,deportes acuáticos
N,2017,deportes acuáticos
N,2003,deportes acuáticos
N,2006,deportes acuáticos
N,2017,deportes acuáticos
Y,2002,deportes acuáticos
N,2003,deportes acuáticos
N,2003,deportes acuáticos
N,2003,deportes acuáticos
N,1993,deportes acuáticos
N,1992,deportes acuáticos
N,1992,deportes acuáticos
N,2008,deportes acuáticos
Y,1992,deportes acuáticos
Y,1992,deportes acuáticos
N,2007,deportes acuáticos
N,1994,deportes acuáticos
N,1987,deportes acuáticos
N,1993,deportes acuáticos
N,2007,deportes acuáticos
N,2008,deportes acuáticos
N,1989,deportes acuáticos
N,2016,deportes acuáticos
N,1990,deportes acuáticos
N,1989,deportes acuáticos
Y,2016,deportes acuáticos
N,1991,deportes acuáticos
N,1996,deportes acuáticos
N,1991,deportes acuáticos
N,1988,deportes acuáticos
N,2008,deportes acuáticos
Y,2008,deportes acuáticos
Y,2008,deportes acuáticos
Y,1993,deportes acuáticos
Y,1996,deportes acuáticos
Y,1995,deportes acuáticos
Y,2016,deportes acuáticos
N,2009,deportes acuáticos
N,2016,deportes acuáticos
N,1995,deportes acuáticos
N,1994,deportes acuáticos
N,1994,deportes acuáticos
N,2016,deportes acuáticos
N,1987,deportes acuáticos
N,2016,deportes acuáticos
Y,1937,deportes acuáticos
Y,1932,deportes acuáticos
Y,1935,deportes acuáticos
N,2014,deportes acuáticos
N,1954,deportes acuáticos
N,2015,deportes acuáticos
Y,1955,deportes acuáticos
N,1934,deportes acuáticos
Y,1955,deportes acuáticos
N,2016,deportes acuáticos
Y,1955,deportes acuáticos
N,2018,deportes acuáticos
N,2018,deportes acuáticos
N,1955,deportes acuáticos
U,1956,deportes acuáticos
Y,1956,deportes acuáticos
Y,1934,deportes acuáticos
Y,1954,deportes acuáticos
Y,2018,deportes acuáticos
N,2016,deportes acuáticos
Y,1937,deportes acuáticos
Y,1956,deportes acuáticos
N,1955,deportes acuáticos
Y,1926,deportes acuáticos
Y,1949,deportes acuáticos
Y,1944,deportes acuáticos
N,2016,deportes acuáticos
Y,1914,deportes acuáticos
N,1944,deportes acuáticos
N,1945,deportes acuáticos
U,1949,deportes acuáticos
Y,1927,deportes acuáticos
U,1910,deportes acuáticos
N,2017,deportes acuáticos
U,1943,deportes acuáticos
Y,2015,deportes acuáticos
Y,2015,deportes acuáticos
Y,1912,deportes acuáticos
N,1945,deportes acuáticos
Y,1948,deportes acuáticos
N,1923,deportes acuáticos
Y,1923,deportes acuáticos
Y,1947,deportes acuáticos
N,1922,deportes acuáticos
Y,1922,deportes acuáticos
N,1948,deportes acuáticos
Y,1948,deportes acuáticos
Y,1921,deportes acuáticos
N,2015,deportes acuáticos
Y,1925,deportes acuáticos
N,1946,deportes acuáticos
Y,1948,deportes acuáticos
Y,1908,deportes acuáticos
U,2017,deportes acuáticos
N,2017,deportes acuáticos
N,1953,deportes acuáticos
N,1938,deportes acuáticos
N,1954,deportes acuáticos
N,2014,deportes acuáticos
N,1931,deportes acuáticos
U,2015,deportes acuáticos
Y,1950,deportes acuáticos
N,1941,deportes acuáticos
N,1942,deportes acuáticos
Y,1928,deportes acuáticos
Y,1942,deportes acuáticos
Y,1951,deportes acuáticos
N,1951,deportes acuáticos
Y,1902,deportes acuáticos
N,1930,deportes acuáticos
N,2017,deportes acuáticos
Y,1900,deportes acuáticos
N,2016,deportes acuáticos
U,1901,deportes acuáticos
Y,1951,deportes acuáticos
Y,1901,deportes acuáticos
Y,1901,deportes acuáticos
Y,1951,deportes acuáticos
N,1930,deportes acuáticos
Y,1974,deportes acuáticos
U,2008,deportes acuáticos
N,2008,deportes acuáticos
Y,1991,deportes acuáticos
N,2008,deportes acuáticos
N,2008,deportes acuáticos
N,1989,deportes acuáticos
N,2008,deportes acuáticos
N,2008,deportes acuáticos
N,1992,deportes acuáticos
Y,1993,deportes acuáticos
Y,1995,deportes acuáticos
Y,2007,deportes acuáticos
N,1994,deportes acuáticos
Y,1993,deportes acuáticos
N,1993,deportes acuáticos
Y,1993,deportes acuáticos
N,2007,deportes acuáticos
Y,1987,deportes acuáticos
N,2009,deportes acuáticos
Y,1980,deportes acuáticos
